,img_coding,num_layer,num_cell,start_cell_dim,parameter_num,acc,f-1_score,roc_auc_score,time
136,"['regas', 'regad', 'trgad', 'mk', 'remk']",3,3,21,482246,75.53956834532374,0,0.628021978021978,157
137,"['rp', 'regas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,3,21,118740,72.66187050359713,0,0.6087912087912088,127
138,"['trrp', 'gas', 'regas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,3,23,142736,77.6978417266187,0,0.623489010989011,128
139,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,3,23,143912,76.2589928057554,0,0.6423076923076922,129
140,"['trrp', 'gas', 'regas', 'gad', 'trgad', 'mk', 'remk']",2,3,23,140384,80.57553956834532,0,0.6806318681318682,124
141,"['trrp', 'regas', 'regad', 'trgad', 'remk']",2,3,20,97187,78.41726618705036,0,0.6662087912087913,122
142,"['trrp', 'regas', 'regad', 'trgad', 'remk']",2,3,18,79331,76.2589928057554,0,0.6043956043956044,125
143,"['trrp', 'regas', 'regad', 'trgad', 'remk']",2,3,17,79331,72.66187050359713,0,0.6277472527472527,118
144,"['rp', 'gas', 'gad', 'trgad', 'mk', 'remk', 'trmk']",4,3,23,2309720,74.82014388489209,0,0.5853021978021977,87
145,"['rp', 'trrp', 'gas', 'regas', 'regad', 'trgad', 'mk', 'remk']",3,1,15,116958,74.82014388489209,0,0.6516483516483516,90
146,"['rp', 'gas', 'regad', 'trgad']",4,1,14,350866,72.66187050359713,0,0.6940934065934065,105
147,"['rp', 'gas', 'regad', 'trgad', 'remk']",4,1,14,351552,79.85611510791367,0,0.675824175824176,108
148,"['regas', 'regad', 'mk', 'remk', 'trmk']",4,1,14,351552,68.34532374100719,0,0.523076923076923,100
149,"['trrp', 'gas', 'regas', 'regad', 'trgad', 'remk']",2,3,23,139208,81.29496402877697,0,0.6759615384615384,123
150,"['rp', 'trrp', 'gas', 'regas', 'gad', 'regad', 'trgad', 'mk', 'remk']",2,3,23,142736,74.82014388489209,0,0.6137362637362638,129
151,"['rp', 'gas', 'trgas', 'gad', 'trgad', 'mk', 'remk', 'trmk']",2,3,13,51272,77.6978417266187,0,0.642445054945055,118
152,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'trmk', 'ctwav']",3,3,15,259366,76.2589928057554,0,0.5759615384615384,153
153,"['trrp', 'gas', 'trgas', 'trgad', 'mk', 'remk', 'trmk']",2,3,15,65046,76.97841726618705,0,0.6945054945054944,126
154,"['trrp', 'gas', 'regas', 'gad', 'regad', 'trgad', 'remk']",2,2,23,101846,77.6978417266187,0,0.661401098901099,97
155,"['rp', 'trrp', 'trgas', 'regad', 'trgad', 'remk', 'trmk']",4,1,23,1025780,78.41726618705036,0,0.6472527472527473,46
156,"['gas', 'regas', 'regad', 'trgad', 'mk', 'remk']",2,3,23,139208,77.6978417266187,0,0.595054945054945,124
157,"['trrp', 'regas', 'regad', 'trgad']",3,3,21,481168,76.97841726618705,0,0.6376373626373627,152
158,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk', 'remk', 'trmk']",2,2,24,103022,78.41726618705036,0,0.6946428571428571,94
159,"['rp', 'rerp', 'gas', 'trgas', 'trgad', 'remk']",2,3,15,64262,78.41726618705036,0,0.6662087912087913,125
160,"['trrp', 'regas', 'regad', 'trgad']",3,1,21,212296,73.38129496402878,0,0.6041208791208792,86
161,"['rp', 'rerp', 'regas', 'trgas', 'trgad', 'mk', 'remk', 'ctwav']",3,2,23,416462,75.53956834532374,0,0.628021978021978,128
162,"['rp', 'rerp', 'gas', 'gad', 'regad', 'trgad', 'remk', 'trmk']",4,1,14,353610,71.22302158273381,0,0.5423076923076923,109
163,"['rerp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",4,1,13,354296,78.41726618705036,0,0.6377747252747253,119
