,img_coding,num_layer,num_cell,start_cell_dim,parameter_num,acc,f-1_score,roc_auc_score,time
296,"['rp', 'rerp', 'gas', 'regas', 'trgad', 'remk']",3,1,94,3817376,81.83333333333333,0.8146781030897331,0,66
297,"['rp', 'rerp', 'trrp', 'gas', 'trgad', 'remk']",3,2,94,6239450,81.5,0.8113902928943647,0,94
298,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk', 'remk']",4,1,37,2589788,79.33333333333333,0.7880440647007481,0,74
299,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgad', 'remk', 'trmk', 'ctwav']",3,2,92,5992526,81.16666666666667,0.8050955757149726,0,91
300,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'mk', 'remk']",3,1,94,3821982,82.5,0.8202758832545254,0,67
301,"['rp', 'rerp', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",3,3,77,5985564,77.66666666666667,0.7724979920823678,0,110
302,"['rp', 'rerp', 'gas', 'gad', 'mk', 'trmk']",3,3,96,9032436,81.16666666666667,0.8066767328594291,0,110
303,"['rp', 'rerp', 'gas', 'regas', 'gad', 'mk', 'remk']",3,1,96,3984708,81.5,0.8109587405634653,0,65
304,"['rp', 'rerp', 'regas', 'trgas', 'gad']",4,2,40,4639640,80.5,0.799796451758559,0,104
305,"['rerp', 'gas', 'regas', 'regad', 'remk']",3,2,61,2731500,75.33333333333333,0.7483477063709933,0,97
306,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'remk']",3,2,47,1651908,77.83333333333333,0.7748991595356179,0,98
307,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgad', 'remk']",3,2,93,6244056,82.33333333333333,0.8205155232238286,0,100
308,"['rp', 'rerp', 'regas', 'trgas', 'gad', 'regad', 'mk', 'trmk']",3,1,31,463540,76.5,0.7580231463757172,0,116
309,"['rp', 'gas', 'trgad', 'mk']",4,1,52,4812543,78.83333333333333,0.7800252809650776,0,78
310,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgad']",3,1,92,3658509,81.83333333333333,0.8116592520726658,0,64
311,"['rp', 'rerp', 'regas', 'gad', 'trgad', 'mk', 'trmk']",4,2,94,25419116,80.0,0.7926321495825018,0,107
312,"['rerp', 'trrp', 'gas', 'regas', 'trgad', 'mk', 'trmk']",3,3,49,2477871,77.83333333333333,0.7761471969112634,0,109
313,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'remk']",3,1,91,3658509,80.83333333333333,0.8037661575553389,0,65
314,"['rp', 'trrp', 'gas', 'trgas', 'regad', 'trmk', 'ctwav']",3,3,49,2477871,79.0,0.7860114859714402,0,108
