,img_coding,num_layer,num_cell,start_cell_dim,parameter_num,acc,f-1_score,roc_auc_score,time
207,"['rp', 'trrp', 'trgas', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",4,2,84,20249672,86.66134185303514,0,0.8623313434751909,4
208,"['rp', 'trrp', 'regas', 'trgad', 'mk', 'remk', 'trmk']",4,2,69,14066746,88.17891373801918,0,0.8772860902496951,3
209,"['rp', 'gas', 'regas', 'regad', 'mk', 'remk', 'trmk', 'ctwav']",2,2,96,1504178,79.47284345047923,0,0.7959162975800758,1
210,"['trrp', 'gas', 'gad', 'trgad']",2,3,13,48528,69.80830670926518,0,0.6932023878297708,2
211,"['rp', 'trrp', 'trgas', 'trgad', 'mk']",4,3,66,17330297,88.81789137380191,0,0.8839668784902756,5
212,"['rp', 'trrp', 'regas', 'mk', 'trmk']",4,3,66,17330297,89.05750798722045,0,0.8879504461133576,5
213,"['rp', 'trgas', 'mk', 'trmk']",2,1,66,422055,75.39936102236422,0,0.7553706913152322,1
214,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'trgad', 'remk']",3,3,14,200414,80.75079872204473,0,0.797577508184094,3
215,"['rp', 'trrp', 'gas', 'trgas', 'mk', 'trmk']",4,3,66,17333531,86.90095846645367,0,0.8665665318698248,5
216,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'mk', 'trmk']",4,3,66,17336765,86.82108626198082,0,0.8635612041851211,5
217,"['rp', 'trrp', 'regas', 'trgas', 'mk', 'trmk']",4,3,67,18398167,88.09904153354633,0,0.8752872456511971,5
218,"['rp', 'trrp', 'trgas', 'trgad', 'mk', 'trmk', 'ctwav']",4,3,66,17336765,87.06070287539936,0,0.8637704602349316,5
219,"['rp', 'rerp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,2,14,574050,87.06070287539936,0,0.8686770652801848,3
220,"['regas', 'gad', 'mk', 'remk', 'trmk']",2,3,72,1184780,75.31948881789137,0,0.7532460363309583,2
221,"['rp', 'trrp', 'trgas', 'trgad', 'mk', 'trmk']",4,3,64,16301394,88.65814696485623,0,0.881101482765261,5
222,"['trgas', 'gad', 'trgad', 'trmk', 'ctwav']",2,3,93,2007394,79.9520766773163,0,0.7985993966236601,2
223,"['rp', 'trrp', 'trgas', 'gad', 'mk', 'remk', 'trmk']",4,3,67,18401499,88.65814696485623,0,0.8852532254958598,5
224,"['rp', 'trrp', 'trgas', 'gad', 'mk', 'remk', 'trmk']",4,3,68,18401499,88.09904153354633,0,0.8764195391231785,5
225,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'trmk', 'ctwav']",4,2,71,14880494,86.82108626198082,0,0.8641902561139996,3
226,"['rp', 'trrp', 'regad', 'trgad', 'mk', 'trmk']",4,3,66,17333531,88.49840255591054,0,0.880752294755761,5
227,"['rp', 'gas', 'regas', 'trgas', 'trgad', 'mk', 'ctwav']",4,3,57,13396507,86.18210862619809,0,0.8541125874574748,5
228,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",3,3,30,897518,84.42492012779553,0,0.8390743950189358,4
229,"['rp', 'rerp', 'remk', 'trmk']",4,3,38,5759556,84.7444089456869,0,0.8385146671801784,5
230,"['rp', 'trrp', 'trgad', 'mk', 'trmk']",4,1,66,7673607,88.89776357827476,0,0.8840785673021375,2
231,"['rp', 'trgas', 'remk']",4,1,53,5137170,86.66134185303514,0,0.8629603954040697,2
232,"['rp', 'gad', 'trgad', 'mk', 'remk']",4,3,67,18394835,87.38019169329074,0,0.8687463893703061,5
233,"['rp', 'rerp', 'trrp', 'regad', 'trgad', 'mk', 'remk']",4,3,80,25453302,87.61980830670926,0,0.870213749277874,5
234,"['rp', 'rerp', 'trrp', 'trgas', 'trgad', 'mk', 'trmk']",4,3,66,17336765,87.69968051118211,0,0.8719609731048206,5
235,"['rp', 'trrp', 'regas', 'trgas', 'trgad', 'mk', 'trmk']",4,3,66,17336765,88.4185303514377,0,0.8806406059438989,5
236,"['rp', 'trrp', 'trgas', 'trgad', 'mk', 'remk', 'trmk']",4,3,67,18401499,87.8594249201278,0,0.8749521792156107,5
237,"['rp', 'trrp', 'trgas', 'trgad', 'mk', 'remk', 'trmk']",4,1,66,7680075,88.73801916932908,0,0.8848616727646191,2
