,img_coding,num_layer,num_cell,start_cell_dim,parameter_num,acc,time
186,"['rerp', 'trrp', 'trgas', 'regad', 'mk', 'remk', 'trmk']",2,2,38,249413,20.20042194092827,43
187,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'remk', 'trmk', 'ctwav']",4,3,74,21832646,16.033755274261605,59
188,"['rerp', 'trrp', 'trgas', 'trgad', 'remk', 'trmk']",2,3,96,2108895,18.30168776371308,27
189,"['rerp', 'trrp', 'trgas', 'remk', 'trmk']",2,3,92,1934454,19.98945147679325,27
190,"['rerp', 'trrp', 'trgas', 'regad', 'trgad', 'remk', 'trmk']",2,3,95,2113599,17.616033755274263,27
191,"['rerp', 'trrp', 'trgas', 'trgad', 'remk', 'trmk']",2,3,93,2022471,16.033755274261605,27
192,"['rerp', 'trrp', 'trgas', 'remk', 'trmk']",2,2,96,1500759,20.253164556962027,19
193,"['rerp', 'trrp', 'gas', 'trgas', 'remk']",2,3,94,2017865,18.40717299578059,27
194,"['trrp', 'gas', 'regad', 'trgad', 'trmk']",4,1,54,5172469,14.345991561181435,23
195,"['rerp', 'trrp', 'gas', 'trgas', 'remk', 'trmk']",2,3,94,2022471,18.30168776371308,27
196,"['rerp', 'trrp', 'gas', 'trgas', 'remk', 'trmk']",2,2,94,1444019,18.459915611814345,43
197,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'remk', 'trmk']",2,2,73,906575,16.508438818565402,44
198,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'remk', 'trmk']",2,2,80,1056239,16.824894514767934,44
199,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'remk', 'trmk']",2,2,38,249413,18.670886075949365,43
200,"['rerp', 'gas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",3,2,37,1037533,15.031645569620252,65
201,"['rerp', 'trrp', 'trgas', 'gad', 'trmk']",2,2,96,1500759,19.356540084388186,19
202,"['rerp', 'trrp', 'trgas', 'gad']",2,2,96,1496055,17.932489451476794,43
203,"['rerp', 'trrp', 'trgas', 'gad', 'mk']",2,2,96,1500759,18.88185654008439,19
204,"['rp', 'trrp', 'regas', 'trgas', 'gad', 'trmk']",3,2,64,2902663,17.035864978902953,29
205,"['rp', 'rerp', 'trrp', 'gad', 'trgad', 'mk']",2,2,38,247551,19.40928270042194,43
206,"['rerp', 'trrp', 'trgad', 'mk']",2,2,38,243827,20.622362869198312,42
207,"['rp', 'rerp', 'trrp', 'gad', 'trgad', 'mk']",2,1,38,152029,17.932489451476794,25
208,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'mk', 'remk', 'trmk']",2,1,88,770017,18.88185654008439,26
209,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'mk', 'trmk']",2,2,15,49487,18.30168776371308,43
210,"['rp', 'trrp', 'regas', 'trgas', 'gad', 'regad', 'trmk', 'ctwav']",2,1,82,671598,18.354430379746834,26
211,"['rerp', 'trrp', 'trgad', 'mk']",2,2,13,36767,17.457805907172997,41
212,"['rerp', 'trrp', 'regas', 'trgad', 'mk', 'trmk']",2,2,16,48703,18.934599156118143,42
213,"['rerp', 'trrp', 'trgas', 'trgad', 'mk', 'trmk']",2,3,42,416646,18.248945147679326,61
214,"['rerp', 'trrp', 'trgad', 'mk']",2,2,40,269459,18.934599156118143,42
215,"['rerp', 'regas', 'trgas', 'trgad', 'remk', 'ctwav']",4,1,12,266568,14.556962025316455,50
216,"['rp', 'trgas', 'gad', 'regad', 'mk', 'ctwav']",4,2,15,754143,14.820675105485233,85
217,"['rerp', 'trrp', 'mk']",2,1,38,146443,21.99367088607595,24
218,"['rerp', 'trrp', 'trgas', 'gad', 'trgad', 'ctwav']",2,2,27,138289,19.40928270042194,43
219,"['rp', 'rerp', 'gas', 'regas', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",3,2,60,2565969,15.717299578059071,30
220,"['rp', 'rerp', 'trrp', 'gad', 'regad']",3,3,51,2665312,16.719409282700422,40
221,"['rerp', 'mk', 'remk']",3,1,80,2751699,15.242616033755274,16
222,"['rp', 'rerp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,2,14,581857,14.029535864978904,90
223,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk']",2,2,95,1505463,20.411392405063292,19
224,"['regas', 'gad', 'mk', 'remk', 'trmk']",2,3,72,1192809,13.50210970464135,61
225,"['rerp', 'trrp', 'gas', 'mk', 'remk', 'trmk']",2,1,38,152029,21.255274261603375,25
226,"['gas', 'regas', 'gad', 'regad', 'trmk', 'ctwav']",3,3,35,1288848,16.350210970464136,91
227,"['rerp', 'trrp', 'gas', 'mk', 'trmk']",2,1,38,150167,20.358649789029535,25
228,"['trgas', 'mk', 'remk', 'trmk']",3,3,13,201333,11.49789029535865,88
229,"['rp', 'gas', 'regas', 'trgas', 'trgad', 'mk', 'ctwav']",4,3,57,13428734,15.50632911392405,55
230,"['rp', 'rerp', 'trrp', 'trgad', 'remk', 'trmk']",2,1,96,902031,19.514767932489452,26
231,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",3,3,30,905325,16.666666666666668,99
232,"['rp', 'rerp', 'trrp', 'remk', 'trmk']",2,1,96,897327,19.303797468354432,25
233,"['rp', 'rerp', 'remk', 'trmk']",4,3,38,5780683,15.453586497890296,54
234,"['rp', 'rerp', 'trrp', 'regas', 'mk', 'ctwav']",2,1,38,152029,19.98945147679325,25
235,"['rerp', 'gas', 'gad', 'regad', 'trgad', 'mk']",3,2,62,2725403,15.717299578059071,29
236,"['rerp', 'trrp', 'regad', 'mk', 'ctwav']",2,1,38,150167,19.09282700421941,25
237,"['rp', 'gas', 'regas', 'gad', 'regad', 'trgad']",3,1,15,119571,16.19198312236287,37
238,"['rerp', 'trrp', 'regad', 'mk']",2,1,38,148305,21.09704641350211,25
239,"['rerp', 'trrp', 'mk', 'ctwav']",2,1,37,148305,20.991561181434598,25
240,"['rerp', 'trrp', 'regas', 'remk']",2,1,38,148305,21.571729957805907,25
241,"['rerp', 'trrp', 'mk']",2,1,93,851749,18.88185654008439,24
